iter	Logloss
0	0.688539346
1	0.6841183914
2	0.6806171948
3	0.6780289244
4	0.6744702654
5	0.6710776144
6	0.6683566662
7	0.6657467376
8	0.6630242246
9	0.6609758335
10	0.6596403991
11	0.657542006
12	0.6561233044
13	0.6550029388
14	0.6533858225
15	0.6518157642
16	0.6506164949
17	0.6496559958
18	0.6484009799
19	0.6471642528
20	0.6461420482
21	0.6451039517
22	0.644272796
23	0.6433480232
24	0.6423868322
25	0.6418486208
26	0.641108749
27	0.640453697
28	0.6403383365
29	0.6400892161
30	0.6398661879
31	0.6392717434
32	0.6387951658
33	0.6383041719
34	0.6379042463
35	0.6374629225
36	0.6370553513
37	0.6368515474
38	0.6363454591
39	0.6359158863
40	0.6354896863
41	0.6351512962
42	0.634743632
43	0.6345519826
44	0.6342769994
45	0.6342719164
46	0.634036164
47	0.633604788
48	0.6333862951
49	0.6329496549
50	0.632583991
51	0.6323428431
52	0.6322973908
53	0.6321987799
54	0.6319346736
55	0.6318358222
56	0.6318353084
57	0.6315441636
58	0.6312743711
59	0.6312062743
60	0.6310818972
61	0.6308054221
62	0.6305688407
63	0.6302718359
64	0.6301576923
65	0.6300457894
66	0.6299843305
67	0.6298639377
68	0.6298479898
69	0.6296455448
70	0.6296230517
71	0.6293690445
72	0.6291409655
73	0.6289905446
74	0.628880107
75	0.6288480027
76	0.6286112756
77	0.6284566631
78	0.6282385862
79	0.6281257397
80	0.6280270332
81	0.6279144154
82	0.6279021815
83	0.6276779304
84	0.6275700836
85	0.62740388
86	0.6273645145
87	0.6272322678
88	0.6271759749
89	0.6270760847
90	0.6268603449
91	0.6267496249
92	0.6266055364
93	0.6264676973
94	0.6263571513
95	0.6262223709
96	0.6261225214
97	0.6260593948
98	0.6259757833
99	0.6259302416
100	0.6259167217
101	0.6257780174
102	0.6257115863
103	0.6256944122
104	0.6256250476
105	0.6254935893
106	0.6253250076
107	0.6251297649
108	0.62511139
109	0.6249265287
110	0.6248438808
111	0.6247393389
112	0.6244999061
113	0.6243759516
114	0.6242334895
115	0.6241237793
116	0.6240343893
117	0.6239895044
118	0.6239847057
119	0.6239303781
120	0.6237919836
121	0.6235404695
122	0.6234959601
123	0.6234008659
124	0.6233403953
125	0.6231953127
126	0.6231914566
127	0.6231098572
128	0.622965895
129	0.6229093158
130	0.6228488493
131	0.6227409741
132	0.6226429262
133	0.6226152958
134	0.6224850943
135	0.6222209373
136	0.6218787081
137	0.6218787081
138	0.6218127407
139	0.6216746033
140	0.6216588962
141	0.6215980936
142	0.6214938562
143	0.6214588927
144	0.6214346509
145	0.6212324894
146	0.6211042772
147	0.620967608
148	0.6206649012
149	0.6206197958
150	0.6204554949
151	0.6204061905
152	0.6203083515
153	0.6202329391
154	0.6200767078
155	0.6200620874
156	0.6200602641
157	0.6199605929
158	0.6198364098
159	0.6197097968
160	0.6196171731
161	0.6194680897
162	0.6193498122
163	0.619272063
164	0.6192112866
165	0.6189100762
166	0.6186606899
167	0.6183164419
168	0.618161868
169	0.6180850856
170	0.6180771737
171	0.6179726294
172	0.6178958717
173	0.6178756636
174	0.6178399317
175	0.6177531738
176	0.6176281479
177	0.6174919076
178	0.6174905859
179	0.6173580224
180	0.6172211674
181	0.6170919659
182	0.617056499
183	0.6168926463
184	0.6167553355
185	0.6165490525
186	0.6164579938
187	0.6163786747
188	0.6162379222
189	0.616187152
190	0.6160301902
191	0.6159204836
192	0.6157930034
193	0.6156110056
194	0.6154549532
195	0.6154339963
196	0.6152669529
197	0.615183416
