iter	Passed	Remaining
0	183	91629
1	215	53639
2	247	40980
3	267	33213
4	296	29345
5	325	26770
6	355	25015
7	385	23705
8	414	22634
9	444	21765
10	464	20642
11	543	22096
12	572	21431
13	597	20750
14	625	20224
15	655	19825
16	683	19409
17	711	19054
18	759	19228
19	792	19012
20	824	18796
21	856	18598
22	887	18414
23	918	18220
24	951	18072
25	982	17903
26	1025	17973
27	1057	17829
28	1069	17375
29	1100	17244
30	1122	16978
31	1153	16862
32	1183	16751
33	1214	16648
34	1246	16554
35	1277	16470
36	1309	16391
37	1349	16406
38	1381	16327
39	1429	16440
40	1461	16357
41	1493	16289
42	1525	16208
43	1553	16098
44	1581	15995
45	1594	15736
46	1622	15637
47	1650	15543
48	1681	15475
49	1708	15377
50	1736	15286
51	1768	15234
52	1792	15121
53	1825	15075
54	1855	15012
55	1885	14952
56	1893	14717
57	1921	14642
58	1949	14572
59	1975	14483
60	2001	14401
61	2031	14348
62	2062	14303
63	2093	14264
64	2136	14299
65	2166	14243
66	2182	14107
67	2226	14142
68	2238	13984
69	2285	14041
70	2304	13921
71	2337	13893
72	2383	13943
73	2415	13904
74	2445	13858
75	2477	13821
76	2510	13793
77	2555	13825
78	2587	13791
79	2620	13757
80	2655	13735
81	2688	13703
82	2720	13665
83	2752	13632
84	2784	13593
85	2818	13569
86	2853	13545
87	2885	13507
88	2918	13476
89	2950	13442
90	2984	13413
91	3017	13382
92	3067	13422
93	3131	13526
94	3185	13579
95	3240	13635
96	3285	13650
97	3330	13662
98	3380	13692
99	3446	13784
100	3466	13693
101	3519	13733
102	3591	13842
103	3621	13789
104	3673	13820
105	3703	13764
106	3732	13708
107	3762	13655
108	3777	13550
109	3813	13519
110	3843	13468
111	3872	13416
112	3901	13361
113	3930	13307
114	3959	13254
115	3988	13201
116	4016	13147
117	4045	13095
118	4063	13008
119	4091	12957
120	4125	12921
121	4160	12891
122	4200	12874
123	4230	12828
124	4263	12789
125	4296	12752
126	4315	12673
127	4362	12679
128	4394	12639
129	4426	12598
130	4456	12552
131	4501	12550
132	4548	12551
133	4579	12508
134	4612	12471
135	4643	12428
136	4674	12385
137	4682	12284
138	4724	12271
139	4755	12228
140	4783	12178
141	4816	12144
142	4850	12108
143	4887	12083
144	4935	12082
145	4967	12044
146	5001	12010
147	5035	11976
148	5067	11938
149	5110	11924
150	5140	11879
151	5183	11866
152	5213	11823
153	5242	11778
154	5270	11730
155	5281	11646
156	5301	11582
157	5328	11534
158	5356	11488
159	5383	11440
160	5411	11394
161	5438	11347
162	5467	11303
163	5494	11257
164	5522	11212
165	5552	11170
166	5579	11124
167	5607	11080
168	5635	11037
169	5664	10995
170	5692	10952
171	5720	10908
172	5749	10867
173	5777	10824
174	5805	10781
175	5833	10738
176	5860	10695
177	5888	10652
178	5903	10587
179	5931	10545
180	5960	10504
181	5989	10464
182	6016	10422
183	6043	10379
184	6071	10338
185	6099	10297
186	6127	10256
187	6155	10215
188	6182	10173
189	6210	10132
