iter	Logloss
0	0.6906975014
1	0.6882124848
2	0.6856802506
3	0.6834276644
4	0.6814062525
5	0.6794287857
6	0.677616417
7	0.6765197781
8	0.6754686717
9	0.6738311051
10	0.6723149717
11	0.6708569976
12	0.66944567
13	0.6680526929
14	0.6669841085
15	0.6657808321
16	0.6645029069
17	0.6633553485
18	0.6623172621
19	0.661269947
20	0.6602857714
21	0.6592666625
22	0.6583850132
23	0.657367806
24	0.6564323491
25	0.6555262581
26	0.6547230001
27	0.6539458757
28	0.6537106433
29	0.6529265756
30	0.6523925682
31	0.6517309006
32	0.6511927417
33	0.6505018179
34	0.6497897581
35	0.6492143504
36	0.6485223178
37	0.6479076139
38	0.6477633177
39	0.6473979541
40	0.6469481463
41	0.6464554465
42	0.6460778711
43	0.6456416561
44	0.645322422
45	0.6447456572
46	0.644259811
47	0.6439236196
48	0.6435892516
49	0.6432566676
50	0.6430388869
51	0.6425991506
52	0.6422928852
53	0.6420336373
54	0.6417863294
55	0.6415324724
56	0.6411366872
57	0.6409094557
58	0.6406446958
59	0.640394025
60	0.6400775318
61	0.6397575045
62	0.6395117253
63	0.6394249694
64	0.6391667546
65	0.6388589661
66	0.638609547
67	0.6384055422
68	0.6383647147
69	0.6382009182
70	0.6381313837
71	0.63804561
72	0.6377219231
73	0.6373591547
74	0.6371335589
75	0.6368780665
76	0.6366489167
77	0.6365576013
78	0.6364315085
79	0.6362286543
80	0.6360531002
81	0.6358516993
82	0.6356258731
83	0.6354431476
84	0.6352257666
85	0.6350758165
86	0.6348787743
87	0.6347662347
88	0.6346327055
89	0.6344118574
90	0.6342640154
91	0.6340632273
92	0.6339360253
93	0.6337670225
94	0.6336139117
95	0.633465242
96	0.6332563467
97	0.633047143
98	0.6329346315
99	0.6329212199
100	0.632833627
101	0.6327147956
102	0.6325961333
103	0.6325722399
104	0.6324049565
105	0.6323253395
106	0.6322668833
107	0.6320605741
108	0.6317958546
109	0.631777379
110	0.6317292944
111	0.6316103228
112	0.6315953157
113	0.6314998629
114	0.6314031557
115	0.6312171316
116	0.6311902513
117	0.6310539005
118	0.6309558664
119	0.6308284033
120	0.630818852
121	0.6306596119
122	0.6305029846
123	0.63035798
124	0.6302469992
125	0.6301934506
126	0.6301090215
127	0.6300450411
128	0.6299380153
129	0.6298577022
130	0.6297514849
131	0.6296609218
132	0.6296356306
133	0.6295773943
134	0.6295032069
135	0.6294226179
136	0.6293486572
137	0.6293022353
138	0.6291158743
139	0.6290864288
140	0.6290673605
141	0.6289961961
142	0.6289836587
143	0.6288649465
144	0.6288254194
145	0.6287768186
146	0.6287641385
147	0.628679999
148	0.6285687418
149	0.6285148164
150	0.6284303025
151	0.6283836219
152	0.6282639578
153	0.6281957674
154	0.6281212715
155	0.6280696974
156	0.6279953612
157	0.6278645556
158	0.6278016885
159	0.6277173497
160	0.6276993002
161	0.627679152
162	0.6276351515
163	0.6275646651
164	0.6274561336
165	0.6274561305
166	0.627359659
167	0.6272718793
168	0.6271938453
169	0.627077514
170	0.6270098864
171	0.6269371132
172	0.6269371067
173	0.6268631154
174	0.6268174279
175	0.62678878
176	0.6267003185
177	0.6265155039
178	0.6265051494
179	0.6264177958
180	0.6263414916
181	0.6261910048
182	0.6260774832
183	0.6259471405
184	0.6259307311
185	0.6258709301
186	0.6258513267
187	0.6258373098
188	0.6257994723
189	0.6257095554
190	0.6256146212
191	0.6255284424
192	0.6254586629
193	0.6254112333
194	0.6253902827
195	0.6252679597
196	0.6251930855
197	0.6250619064
198	0.6250598743
199	0.6250278624
200	0.6249842406
201	0.6249148134
202	0.6248772973
203	0.624868655
204	0.6247882017
205	0.6247826234
206	0.6247668672
207	0.6246955935
208	0.6245668176
209	0.6245586516
210	0.6244408101
211	0.624390218
212	0.6243068666
213	0.6242003808
214	0.6241593959
215	0.6241372517
216	0.6240313886
217	0.6239751789
218	0.6239508934
219	0.6238539119
220	0.6237742106
221	0.6236934367
222	0.6235832854
223	0.623561123
224	0.6234856213
225	0.6234376827
226	0.6234186838
227	0.6233779391
228	0.6233482564
229	0.6232950438
230	0.623167883
231	0.623167883
232	0.623112669
233	0.6230330648
234	0.6229532672
235	0.6229276177
236	0.6228826139
237	0.6228572973
238	0.622794824
239	0.622794824
240	0.6226827985
241	0.6226827985
242	0.6226591565
243	0.622643341
244	0.6225844615
245	0.6225329888
246	0.6224719441
247	0.6224497938
248	0.6223691765
249	0.6223254056
250	0.6222080356
251	0.6221700989
252	0.6221223182
253	0.6220790941
254	0.6220000582
255	0.6219694461
256	0.6217835962
257	0.6217392238
258	0.6216965252
259	0.6216942534
260	0.6216295592
261	0.6216151229
262	0.6215516921
263	0.6214883943
264	0.6214382487
265	0.6213468697
266	0.6213020275
267	0.6212193636
268	0.6212193636
269	0.62117649
270	0.6211029896
271	0.6210528386
272	0.6210134732
273	0.6209440226
274	0.6209049514
275	0.6208624938
276	0.6208610319
277	0.6207890354
278	0.6207666982
279	0.6207391893
280	0.6206680109
281	0.6205666694
282	0.620549826
283	0.6204761183
284	0.620420327
285	0.6203580143
286	0.6203344249
287	0.6203157011
288	0.6202219573
289	0.6201856123
290	0.6201488293
291	0.6201398415
292	0.6200956083
293	0.6200723362
294	0.6200140757
295	0.6199579298
296	0.6199321144
297	0.6199139721
298	0.6198598159
299	0.6198163176
300	0.619803465
301	0.6197518812
302	0.6197261428
303	0.6196788157
304	0.6195615941
305	0.6195213454
306	0.619492677
307	0.6194085982
308	0.6193591127
309	0.6192804639
310	0.6191967397
311	0.6191758325
312	0.6191546673
313	0.6191299644
314	0.6190365588
315	0.6189883405
316	0.6189754319
317	0.6189066347
318	0.6188772905
319	0.6188629039
320	0.6188177613
321	0.6187674821
322	0.6187074855
323	0.6186977503
324	0.6186664777
325	0.6186351652
326	0.6185605478
327	0.6184630697
328	0.6184387647
329	0.6183506593
330	0.6182630648
331	0.6181875484
332	0.6181491155
333	0.618089032
334	0.6180506563
335	0.6180456568
336	0.6180007142
337	0.6178740073
338	0.6177822291
339	0.6177118291
340	0.6177096223
341	0.6175833412
342	0.6175440816
343	0.6174878206
344	0.6174641418
345	0.6174111683
346	0.6173610887
347	0.6172575868
348	0.6171683737
349	0.6170943048
350	0.6170399227
351	0.6169921144
352	0.6168605525
353	0.6167281096
354	0.6166383501
355	0.6165453416
356	0.6165257864
357	0.6164500212
358	0.6163799529
359	0.6163489404
360	0.6163185472
361	0.6162694799
362	0.6161594461
363	0.6160616156
364	0.6159895153
365	0.6159693079
366	0.6158797189
367	0.6158484036
368	0.6157156349
369	0.615682293
370	0.6156252367
371	0.6155895221
372	0.6155346119
373	0.6155185085
374	0.6154366323
375	0.6152992837
376	0.615213606
377	0.6150950945
378	0.6150646827
379	0.6150436157
380	0.6150155842
381	0.6149486468
